Index,Red,Green,Blue
67 0.13886 0.76279 0.8955
68 0.13278 0.77165 0.8858
69 0.12698 0.78037 0.8759
70 0.12151 0.78896 0.86581
71 0.11639 0.7974 0.85559
72 0.11167 0.80569 0.84525
73 0.10738 0.81381 0.83484
74 0.10357 0.82177 0.82437
75 0.10026 0.82955 0.81389
76 0.0975 0.83714 0.80342
77 0.09532 0.84455 0.79299
78 0.09377 0.85175 0.78264
79 0.09287 0.85875 0.7724
80 0.09267 0.86554 0.7623
81 0.0932 0.87211 0.75237
82 0.09451 0.87844 0.74265
83 0.09662 0.88454 0.73316
84 0.09958 0.8904 0.72393
85 0.10342 0.896 0.715
86 0.10815 0.90142 0.70599
87 0.11374 0.90673 0.69651
88 0.12014 0.91193 0.6866
89 0.12733 0.91701 0.67627
90 0.13526 0.92197 0.66556
91 0.14391 0.9268 0.65448
92 0.15323 0.93151 0.64308
93 0.16319 0.93609 0.63137
94 0.17377 0.94053 0.61938
95 0.18491 0.94484 0.60713
96 0.19659 0.94901 0.59466
97 0.20877 0.95304 0.58199
98 0.22142 0.95692 0.56914
99 0.23449 0.96065 0.55614
100 0.24797 0.96423 0.54303
101 0.2618 0.96765 0.52981
102 0.27597 0.97092 0.51653
103 0.29042 0.97403 0.50321
104 0.30513 0.97697 0.48987
105 0.32006 0.97974 0.47654
106 0.33517 0.98234 0.46325
107 0.35043 0.98477 0.45002
108 0.36581 0.98702 0.43688
109 0.38127 0.98909 0.42386
110 0.39678 0.99098 0.41098
111 0.41229 0.99268 0.39826
112 0.42778 0.99419 0.38575
113 0.44321 0.99551 0.37345
114 0.45854 0.99663 0.3614
115 0.47375 0.99755 0.34963
116 0.48879 0.99828 0.33816
117 0.50362 0.99879 0.32701
118 0.51822 0.9991 0.31622
119 0.53255 0.99919 0.30581
120 0.54658 0.99907 0.29581
121 0.56026 0.99873 0.28623
122 0.57357 0.99817 0.27712
123 0.58646 0.99739 0.26849
124 0.59891 0.99638 0.26038
125 0.61088 0.99514 0.2528
126 0.62233 0.99366 0.24579
127 0.63323 0.99195 0.23937
128 0.64362 0.98999 0.23356
129 0.65394 0.98775 0.22835
130 0.66428 0.98524 0.2237
131 0.67462 0.98246 0.2196
